"ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID","SPOT_ID.1"
"TC1200007105.hg.1",0.426,0.156,-1.466429,-5.8433,-0.4891656,"Multiple_Complex","Multiple_Complex"
"TC0500011121.hg.1",0.426,0.156,-1.466422,-5.84331,-0.2138825,"Multiple_Complex","Multiple_Complex"
"TC2000008232.hg.1",0.426,0.156,-1.46614,-5.84369,-0.3028813,"Multiple_Complex","Multiple_Complex"
"HTA2-neg-47422318_st",0.426,0.156,-1.466058,-5.84381,-0.3137419,"---","---"
"TC1600006593.hg.1",0.426,0.157,-1.465706,-5.84429,-0.2324138,"Multiple_Complex","Multiple_Complex"
"TC0500009996.hg.1",0.426,0.157,1.465663,-5.84435,0.337175,"Multiple_Complex","Multiple_Complex"
"TC1900012031.hg.1",0.426,0.157,1.465567,-5.84449,0.321245,"Coding","Coding"
"TC1200011811.hg.1",0.426,0.157,-1.465566,-5.84449,-0.2237625,"Multiple_Complex","Multiple_Complex"
"TC0700006913.hg.1",0.426,0.157,-1.465507,-5.84457,-0.3109787,"Multiple_Complex","Multiple_Complex"
"TC1100008557.hg.1",0.426,0.157,1.465464,-5.84463,0.2616337,"Multiple_Complex","Multiple_Complex"
"TC1700008951.hg.1",0.426,0.157,-1.465235,-5.84495,-0.2565806,"Multiple_Complex","Multiple_Complex"
"TC0400008609.hg.1",0.427,0.157,1.464697,-5.84569,0.353145,"Multiple_Complex","Multiple_Complex"
"TC1000011580.hg.1",0.427,0.157,-1.464621,-5.84579,-0.2661925,"Coding","Coding"
"TC1900011248.hg.1",0.427,0.157,-1.463956,-5.84671,-0.336715,"Multiple_Complex","Multiple_Complex"
"TC1900011778.hg.1",0.427,0.157,-1.463867,-5.84684,-0.2504744,"Multiple_Complex","Multiple_Complex"
"TC0500009147.hg.1",0.427,0.157,1.463728,-5.84703,0.3785719,"Unassigned","Unassigned"
"TC0700008501.hg.1",0.427,0.157,-1.463684,-5.84709,-0.2424281,"Multiple_Complex","Multiple_Complex"
"TC0200010012.hg.1",0.427,0.157,1.463606,-5.8472,0.2273775,"Multiple_Complex","Multiple_Complex"
"TC0200014765.hg.1",0.427,0.157,-1.463602,-5.8472,-0.2728925,"Unassigned","Unassigned"
"TC0200011688.hg.1",0.427,0.157,1.463394,-5.84749,0.2363375,"Multiple_Complex","Multiple_Complex"
"TC0500011852.hg.1",0.428,0.157,-1.463086,-5.84791,-0.3373431,"Multiple_Complex","Multiple_Complex"
"TC0100009958.hg.1",0.428,0.157,-1.46298,-5.84806,-0.3593656,"Multiple_Complex","Multiple_Complex"
"TC0100018239.hg.1",0.428,0.157,-1.462956,-5.84809,-0.339135,"Coding","Coding"
"TC0300009192.hg.1",0.428,0.157,1.462842,-5.84825,0.22684,"Coding","Coding"
"TC0600008035.hg.1",0.428,0.157,-1.462546,-5.84866,-0.2445813,"Multiple_Complex","Multiple_Complex"
"TC0900007195.hg.1",0.428,0.157,-1.462451,-5.84879,-0.3018356,"NonCoding","NonCoding"
"TC0100016709.hg.1",0.428,0.158,-1.462137,-5.84922,-0.300475,"Multiple_Complex","Multiple_Complex"
"TSUnmapped00000273.hg.1",0.428,0.158,1.462045,-5.84935,0.3256944,"Coding","Coding"
"TC1400009386.hg.1",0.428,0.158,1.461913,-5.84953,0.2471038,"Multiple_Complex","Multiple_Complex"
"TC1100011083.hg.1",0.428,0.158,-1.461503,-5.8501,-0.4042369,"Multiple_Complex","Multiple_Complex"
"TC1700012193.hg.1",0.428,0.158,-1.461498,-5.8501,-0.2664738,"Multiple_Complex","Multiple_Complex"
"TC0300008242.hg.1",0.428,0.158,1.461475,-5.85014,0.2639231,"Multiple_Complex","Multiple_Complex"
"HTA2-neg-47419793_st",0.428,0.158,-1.46147,-5.85014,-0.4753381,"---","---"
"TC1000012117.hg.1",0.428,0.158,1.461161,-5.85057,0.2702263,"Multiple_Complex","Multiple_Complex"
"TC0100010798.hg.1",0.428,0.158,-1.460977,-5.85082,-0.5497125,"Multiple_Complex","Multiple_Complex"
"TC0700013394.hg.1",0.428,0.158,-1.460821,-5.85104,-0.36721,"Multiple_Complex","Multiple_Complex"
"TC0600010565.hg.1",0.428,0.158,-1.460809,-5.85105,-0.2736175,"Multiple_Complex","Multiple_Complex"
"TC1100012519.hg.1",0.429,0.158,-1.460382,-5.85164,-0.2832806,"NonCoding","NonCoding"
